CBSA,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,LSAD
39860,"Red Wing, MN",47580,47578,48042,48041,48035,Micropolitan Statistical Area
39860,"Goodhue County, MN",47580,47578,48042,48041,48035,County or equivalent
39940,"Rexburg, ID",66300,66347,67683,68975,68743,Micropolitan Statistical Area
39940,"Fremont County, ID",13387,13419,13591,14017,14196,County or equivalent
39940,"Madison County, ID",52913,52928,54092,54958,54547,County or equivalent
39960,"Rice Lake, WI",46726,46737,46709,46715,46833,Micropolitan Statistical Area
39960,"Barron County, WI",46726,46737,46709,46715,46833,County or equivalent
39980,"Richmond, IN",66541,66507,66435,66216,66127,Micropolitan Statistical Area
39980,"Wayne County, IN",66541,66507,66435,66216,66127,County or equivalent
40080,"Richmond-Berea, KY",122905,123213,123694,125400,126861,Micropolitan Statistical Area
40080,"Estill County, KY",14164,14161,14086,14024,13936,County or equivalent
40080,"Madison County, KY",92705,92993,93474,95151,96735,County or equivalent
40080,"Rockcastle County, KY",16036,16059,16134,16225,16190,County or equivalent
40090,"Rifle, CO",79044,79149,79444,79103,79347,Micropolitan Statistical Area
40090,"Garfield County, CO",61686,61794,62107,62256,62707,County or equivalent
40090,"Pitkin County, CO",17358,17355,17337,16847,16640,County or equivalent
40100,"Rio Grande City-Roma, TX",65921,65867,65858,65653,65934,Micropolitan Statistical Area
40100,"Starr County, TX",65921,65867,65858,65653,65934,County or equivalent
40180,"Riverton, WY",39235,39202,39416,39566,39815,Micropolitan Statistical Area
40180,"Fremont County, WY",39235,39202,39416,39566,39815,County or equivalent
40260,"Roanoke Rapids, NC",66094,65961,65469,64538,64013,Micropolitan Statistical Area
40260,"Halifax County, NC",48625,48528,48353,47711,47298,County or equivalent
40260,"Northampton County, NC",17469,17433,17116,16827,16715,County or equivalent
40300,"Rochelle, IL",51780,51692,51464,51345,51265,Micropolitan Statistical Area
40300,"Ogle County, IL",51780,51692,51464,51345,51265,County or equivalent
40460,"Rockingham, NC",42948,42914,42805,42573,42324,Micropolitan Statistical Area
40460,"Richmond County, NC",42948,42914,42805,42573,42324,County or equivalent
40540,"Rock Springs, WY",42271,42197,41626,41374,41249,Micropolitan Statistical Area
40540,"Sweetwater County, WY",42271,42197,41626,41374,41249,County or equivalent
40620,"Rolla, MO",44636,44559,44899,45273,45284,Micropolitan Statistical Area
40620,"Phelps County, MO",44636,44559,44899,45273,45284,County or equivalent
40700,"Roseburg, OR",111203,111295,112149,112290,112435,Micropolitan Statistical Area
40700,"Douglas County, OR",111203,111295,112149,112290,112435,County or equivalent
40740,"Roswell, NM",65156,65149,64650,63892,63561,Micropolitan Statistical Area
40740,"Chaves County, NM",65156,65149,64650,63892,63561,County or equivalent
40760,"Ruidoso, NM",20266,20307,20400,20343,20029,Micropolitan Statistical Area
40760,"Lincoln County, NM",20266,20307,20400,20343,20029,County or equivalent
40770,"Russellville, AL",32112,32078,31998,31910,31802,Micropolitan Statistical Area
40770,"Franklin County, AL",32112,32078,31998,31910,31802,County or equivalent
40780,"Russellville, AR",83640,83622,83913,84144,84637,Micropolitan Statistical Area
40780,"Pope County, AR",63384,63410,63778,64053,64593,County or equivalent
40780,"Yell County, AR",20256,20212,20135,20091,20044,County or equivalent
40820,"Ruston, LA",48401,48309,48110,47980,47962,Micropolitan Statistical Area
40820,"Lincoln Parish, LA",48401,48309,48110,47980,47962,County or equivalent
40860,"Rutland, VT",60574,60484,60728,60353,60271,Micropolitan Statistical Area
40860,"Rutland County, VT",60574,60484,60728,60353,60271,County or equivalent
40940,"Safford, AZ",38541,38646,38921,38822,39525,Micropolitan Statistical Area
40940,"Graham County, AZ",38541,38646,38921,38822,39525,County or equivalent
41260,"St. Marys, PA",31000,30946,30796,30467,30198,Micropolitan Statistical Area
41260,"Elk County, PA",31000,30946,30796,30467,30198,County or equivalent
41400,"Salem, OH",101879,101642,101352,100569,100182,Micropolitan Statistical Area
41400,"Columbiana County, OH",101879,101642,101352,100569,100182,County or equivalent
41460,"Salina, KS",60026,59983,59657,59195,58916,Micropolitan Statistical Area
41460,"Ottawa County, KS",5729,5729,5830,5806,5818,County or equivalent
41460,"Saline County, KS",54297,54254,53827,53389,53098,County or equivalent
41760,"Sandpoint, ID",47103,47403,49633,51407,52547,Micropolitan Statistical Area
41760,"Bonner County, ID",47103,47403,49633,51407,52547,County or equivalent
41820,"Sanford, NC",63280,63434,64052,65543,67059,Micropolitan Statistical Area
41820,"Lee County, NC",63280,63434,64052,65543,67059,County or equivalent
42300,"Sault Ste. Marie, MI",36783,36787,35849,36207,36264,Micropolitan Statistical Area
42300,"Chippewa County, MI",36783,36787,35849,36207,36264,County or equivalent
42380,"Sayre, PA",59968,59968,60137,59854,59695,Micropolitan Statistical Area
42380,"Bradford County, PA",59968,59968,60137,59854,59695,County or equivalent
42420,"Scottsbluff, NE",36770,36730,36594,36426,36373,Micropolitan Statistical Area
42420,"Banner County, NE",676,679,690,657,674,County or equivalent
42420,"Scotts Bluff County, NE",36094,36051,35904,35769,35699,County or equivalent
42460,"Scottsboro, AL",52579,52545,52719,52923,53467,Micropolitan Statistical Area
42460,"Jackson County, AL",52579,52545,52719,52923,53467,County or equivalent
42580,"Seaford, DE",237375,238629,247809,256447,263509,Micropolitan Statistical Area
42580,"Sussex County, DE",237375,238629,247809,256447,263509,County or equivalent
42620,"Searcy, AR",76824,76860,77109,77616,78452,Micropolitan Statistical Area
42620,"White County, AR",76824,76860,77109,77616,78452,County or equivalent
42740,"Sedalia, MO",42984,43006,43213,43397,43530,Micropolitan Statistical Area
42740,"Pettis County, MO",42984,43006,43213,43397,43530,County or equivalent
42780,"Selinsgrove, PA",39734,39733,39734,39506,39717,Micropolitan Statistical Area
42780,"Snyder County, PA",39734,39733,39734,39506,39717,County or equivalent
42820,"Selma, AL",38458,38171,37515,36729,36165,Micropolitan Statistical Area
42820,"Dallas County, AL",38458,38171,37515,36729,36165,County or equivalent
42860,"Seneca, SC",78604,78784,79318,80160,81221,Micropolitan Statistical Area
